GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.3499756,-4.336792,8.64003,0.027027104,2077.5,47.45098114,43,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.65882874,-4.5402985,8.953674,0.04455024,2259.5,47.45098114,43,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.26617432,-4.506775,8.922546,0.04583599,2259.5,47.45098114,43,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.45292664,-4.4612885,8.731018,0.038443647,2259.5,47.45098114,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.64445496,-4.264969,8.867477,0.038102083,2259.5,47.45098114,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.9461212,-4.4852295,8.769318,0.027676642,2259.5,47.45098114,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.7904968,-4.4301605,9.037476,0.032049555,2259.5,91.37255096,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.63726807,-4.506775,8.783676,0.033707943,2259.5,91.37255096,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.8742981,-4.7078857,8.948883,0.053601205,2259.5,91.37255096,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:14.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.49362183,-5.59375,8.302444,0.028126657,2259.5,91.37255096,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.26138306,-5.246582,7.7134705,0.010097708,2259.5,91.37255096,47,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.76416016,-5.500366,7.9624786,0.002354096,2259.5,91.37255096,47,9.411765099,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.47207642,-6.2928467,8.800446,0.12288946,2259.5,91.37255096,47,9.411765099,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.1368866,-6.0342865,8.410187,0.041085217,2259.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.77853394,-5.6990967,8.371887,0.04479188,2259.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.34518433,-4.300873,9.346313,0.068356216,2259.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.49996948,-5.5099487,7.7805176,-0.010466592,2181.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.26138306,-5.011963,8.352722,-0.010739997,2181.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.3356018,-5.636841,7.8403625,-0.003494597,2181.5,91.37255096,47,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:15.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.3068695,-4.913788,8.422165,0.013457775,2181.5,91.37255096,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.56544495,-5.466858,7.727844,0.003494938,2181.5,91.37255096,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.15603638,-6.0199127,8.745377,0.00781269,2181.5,62.35294342,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.40264893,-5.6152954,8.87706,0.090529144,2181.5,62.35294342,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.43855286,-4.7174683,8.874664,0.04449886,2181.5,62.35294342,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.29490662,-5.4644623,9.482788,0.028365439,2181.5,62.35294342,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.6899414,-4.985626,7.763748,0.018698562,2181.5,62.35294342,49,9.411765099,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.54629517,-5.0263214,7.9911957,-0.017055392,2181.5,62.35294342,49,15.68627453,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,1.391449,-5.763733,8.656784,0.014724366,2181.5,62.35294342,49,15.68627453,22.84365082,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,1.5925598,-5.5746,7.924164,0.029364165,2181.5,62.35294342,49,15.68627453,11.71694756,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:16.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,1.949295,-5.7038727,8.623276,0.045550294,2181.5,62.35294342,49,15.68627453,11.71694756,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:17.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,2.1767426,-5.5674133,7.5602417,0.001469493,2181.5,62.35294342,49,15.68627453,11.71694756,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:17.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,1.6811523,-5.969635,8.379059,0.039448183,1850.25,62.35294342,49,15.68627453,11.71694756,-
